Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,KPss_T1,KPss_T2,Rcv_T1,Rcv_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2019-2020,10,UDINESE,ROMA,30/10/2019,STADIUM DACIA ARENA - STADIO FRIULI,21:00:00,MASSIMILIANO  IRRATI,ALESSANDRO  LO CICERO,MATTEO  BOTTEGONI,LORENZO  ILLUZZI,PAOLO SILVIO  MAZZOLENI,MAURO VIVENZI,0,4,A,IGOR TUDOR,PAULO FONSECA,3-5-2,4-2-3-1,94'57,54'59,0.58,28'26 (52%),14'13 (50%),14'13 (50%),26'33 (48%),11'21 (43%),15'12 (57%),4'21,3'46,5'29,4'26,3'42,6'42,7'23,6'05,3'11,4'01,3'09,2'44,8,10,5(0),6(4),0,2,3,5,3,4,2,4,3,8,0,2,2,1,5,3,16,16,452,350,0.84,0.81,21,28,159,115,272,207,3,3,72,70,12,13,0 (0),1 (1),109.548,26.917,72.809,9.822,103.882,25.962,69.631,8.289,6.8,6.8,20 (43%),14 (31%),12 (26%),14 (37%),6 (16%),18 (47%),0/0,0/0,3/7,0/4,0/1,0/0,0/1,0/0,0/0,0/0,0/0,0/1,MATO JAJALO,8,ALEKSANDAR KOLAROV,11,4.0,3.5,1.95
2019-2020,10,MILAN,SPAL,31/10/2019,STADIUM GIUSEPPE MEAZZA,21:00:00,MARCO  PICCININI,STEFANO  DEL GIOVANE,ALESSIO  TOLFO,PAOLO  VALERI,DANIELE  CHIFFI,STEFANO ALASSIO,1,0,H,STEFANO PIOLI,LEONARDO SEMPLICI,4-3-3,3-5-2,93'07,42'53,0.46,24'15 (57%),14'25 (59%),9'50 (41%),18'38 (43%),9'42 (52%),8'56 (48%),4'02,4'30,4'09,3'55,3'18,4'21,3'55,1'37,4'21,3'02,2'33,3'10,10,5,6(1),2(0),1,0,3,0,4,3,2,4,4,1,0,0,4,3,7,6,17,21,350,262,0.76,0.7,30,23,135,92,185,146,3,1,100,101,29,25,0 (0),0 (0),107.813,26.692,72.289,8.832,110.818,28.448,72.868,9.502,6.7,6.9,21 (40%),12 (22%),20 (38%),26 (48%),7 (13%),21 (39%),1/1,2/2,0/0,0/2,1/1,0/1,1/3,2/2,1/1,1/1,0/0,0/0,SUSO,8,SERGIO FLOCCARI,10,1.45,4.2,8.0
2019-2020,11,ROMA,NAPOLI,02/11/2019,STADIUM OLIMPICO,15:00:00,GIANLUCA  ROCCHI,FILIPPO  MELI,GIORGIO  PERETTI,EUGENIO  ABBATTISTA,GIANLUCA  AURELIANO,ALESSANDRO LO CICERO,2,1,H,PAULO FONSECA,CARLO ANCELOTTI,4-2-3-1,4-4-2,98'46,49'31,0.5,24'25 (49%),15'09 (62%),9'16 (38%),25'06 (51%),16'30 (66%),8'36 (34%),6'22,4'02,3'24,4'03,3'35,2'58,3'22,3'11,6'34,4'37,3'37,3'45,13,12,7(2),6(1),2,0,4,3,6,6,2,4,7,9,1,1,4,2,10,4,23,14,330,459,0.79,0.83,25,17,113,148,192,294,3,7,81,60,21,13,2 (1),0 (0),109.093,28.784,71.188,9.121,103.119,29.434,65.291,8.394,6.6,6.3,14 (33%),5 (12%),23 (55%),21 (53%),4 (9%),15 (38%),0/0,0/0,1/1,1/2,0/0,0/0,1/1,0/0,0/1,0/0,0/0,0/0,JORDAN VERETOUT,21,ARKADIUSZ MILIK,99,2.75,3.6,2.45
2019-2020,11,BOLOGNA,INTER,02/11/2019,STADIUM RENATO DALL'ARA,18:00:00,FEDERICO  LA PENNA,MATTEO  PASSERI,DARIO  CECCONI,LIVIO  MARINELLI,PAOLO  VALERI,STEFANO DEL GIOVANE,1,2,A,SINISA MIHAJLOVIC,ANTONIO CONTE,4-3-3,3-5-2,94'46,45'59,0.49,21'54 (48%),12'19 (56%),9'35 (44%),24'05 (52%),12'01 (50%),12'04 (50%),3'00,4'29,3'57,5'04,2'44,2'40,4'52,3'05,4'16,3'23,4'01,4'28,8,11,3(1),9(2),0,1,1,8,5,2,6,2,2,7,1,0,1,4,2,7,12,24,359,403,0.78,0.78,26,26,109,165,224,212,0,4,64,87,16,20,0 (0),1 (1),111.29,27.825,74.847,8.618,111.729,26.424,77.368,7.937,6.9,6.9,20 (49%),5 (12%),16 (39%),18 (38%),6 (13%),23 (49%),0/0,0/0,3/3,1/2,0/0,0/0,1/1,0/0,3/4,1/1,0/2,0/0,MATTIAS SVANBERG,32,ROMELU LUKAKU,9,3.75,3.6,2.0
2019-2020,11,TORINO,JUVENTUS,02/11/2019,STADIUM OLIMPICO GRANDE TORINO,20:45:00,DANIELE  DOVERI,ALESSANDRO  GIALLATINI,ALBERTO  TEGONI,MARCO  GUIDA,FABIO  MARESCA,CIRO CARBONE,0,1,A,WALTER MAZZARRI,MAURIZIO SARRI,3-5-1-1,4-3-1-2,97'11,42'14,0.43,18'05 (43%),8'36 (48%),9'29 (52%),24'09 (57%),12'06 (50%),12'03 (50%),2'42,3'17,3'19,2'48,2'09,3'50,4'19,4'16,4'13,4'07,3'19,3'55,7,14,4(0),10(1),0,1,3,9,3,4,9,4,2,9,0,1,1,3,11,6,22,16,208,367,0.71,0.81,40,28,59,123,109,216,1,7,62,93,23,19,0 (0),0 (0),104.579,29.168,65.614,9.797,104.203,28.53,66.369,9.304,6.3,6.3,23 (52%),5 (12%),16 (36%),15 (33%),8 (17%),23 (50%),0/0,1/1,1/5,1/1,0/0,0/0,2/2,1/1,0/1,2/5,0/0,0/0,CRISTIAN ANSALDI,15,MATTHIJS DE LIGT,4,7.0,4.2,1.5
2019-2020,11,ATALANTA,CAGLIARI,03/11/2019,STADIUM GEWISS STADIUM,12:30:00,ROSARIO  ABISSO,VALERIO  COLAROSSI,DAMIANO  DI IORIO,ANTONIO  RAPUANO,DANIELE  ORSATO,ALEANDRO DI PAOLO,0,2,A,GIAN PIERO GASPERINI,ROLANDO MARAN,3-4-1-2,4-3-1-2,93'52,54'00,0.58,31'12 (58%),12'48 (41%),18'24 (59%),22'48 (42%),13'59 (61%),8'49 (39%),4'12,4'59,4'53,5'04,4'31,7'33,4'24,2'51,4'51,2'49,3'38,4'15,11,12,3(0),8(1),0,2,1,5,8,4,5,3,5,6,0,1,1,1,13,2,15,18,479,365,0.87,0.81,21,30,155,127,303,208,5,5,91,100,24,22,0 (0),0 (0),106.386,25.39,71.168,9.828,109.645,27.144,73.146,9.355,7.0,7.0,14 (23%),10 (17%),36 (60%),13 (30%),8 (19%),22 (51%),3/4,6/10,3/5,0/1,0/1,1/2,0/0,6/10,0/0,1/1,0/0,0/2,RUSLAN MALINOVSKYI,18,CHRISTIAN OLIVA,17,1.28,5.5,11.0
2019-2020,11,GENOA,UDINESE,03/11/2019,STADIUM LUIGI FERRARIS,15:00:00,FABRIZIO  PASQUA,LUCA  MONDIN,GIOVANNI  BACCINI,LORENZO  MAGGIONI,LUIGI  NASCA,DANIELE BINDONI,1,3,A,THIAGO  MOTTA,LUCA GOTTI,4-2-3-1,3-5-2,94'41,58'04,0.61,35'53 (62%),16'19 (45%),19'34 (55%),22'11 (38%),10'28 (47%),11'43 (53%),6'55,5'44,4'53,7'23,4'27,6'31,3'17,3'48,4'40,2'27,2'43,5'16,10,13,2(1),5(3),0,0,2,3,8,8,2,1,2,7,1,3,0,0,8,5,11,13,545,307,0.87,0.81,16,25,168,104,361,178,1,4,91,126,26,19,0 (0),0 (0),107.201,27.571,72.31,7.32,109.605,27.386,74.017,8.202,6.5,6.7,25 (46%),14 (26%),15 (28%),11 (27%),9 (22%),21 (51%),2/2,1/2,4/6,3/4,0/0,2/3,1/3,1/2,2/4,1/1,0/0,0/0,GORAN PANDEV,19,RODRIGO DE PAUL,10,1.9,3.4,4.2
2019-2020,11,HELLAS VERONA,BRESCIA,03/11/2019,STADIUM MARCANTONIO BENTEGODI,15:00:00,MAURIZIO  MARIANI,VALENTINO  FIORITO,GIORGIO  SCHENONE,MARCO  SERRA,DAVIDE  MASSA,MAURO GALETTO,2,1,H,IVAN JURIC,EUGENIO CORINI,3-4-2-1,3-5-2,100'20,47'02,0.47,25'59 (55%),16'20 (63%),9'39 (37%),21'03 (45%),12'05 (57%),8'58 (43%),3'42,3'25,4'28,2'18,4'09,7'57,2'20,3'11,3'40,1'51,3'03,6'57,11,11,6(2),5(1),0,2,4,2,5,6,2,4,8,9,2,1,2,2,5,1,18,16,339,299,0.78,0.75,22,38,131,127,186,134,5,4,75,68,24,31,0 (0),0 (0),110.6,28.672,71.526,10.402,107.445,28.82,68.544,10.081,6.7,6.5,34 (63%),3 (6%),17 (31%),16 (31%),13 (25%),23 (44%),3/3,1/1,3/3,1/1,0/0,0/0,0/0,1/1,7/7,4/4,0/0,0/0,EDDIE SALCEDO,29,MARIO BALOTELLI,45,2.15,3.3,3.5
2019-2020,11,LECCE,SASSUOLO,03/11/2019,STADIUM ETTORE GIARDINIERO - VIA DEL MARE,15:00:00,RICCARDO  ROS,SERGIO  RANGHETTI,LORENZO  GORI,ANTONIO  GIUA,LUCA  BANTI,SALVATORE LONGO,2,2,D,FABIO LIVERANI,ROBERTO DE ZERBI,4-3-1-2,4-3-3,94'59,54'37,0.58,21'28 (39%),12'40 (59%),8'48 (41%),33'09 (61%),14'11 (43%),18'58 (57%),2'48,3'51,2'52,5'31,1'54,4'32,5'17,6'18,4'35,4'54,5'18,6'47,6,12,4(2),5(2),1,0,1,5,2,7,1,2,6,7,1,1,1,0,6,6,14,16,339,571,0.82,0.9,22,12,131,164,186,395,2,3,66,71,20,13,0 (0),0 (0),108.505,27.512,72.982,8.011,107.951,27.914,71.753,8.284,6.7,6.6,31 (69%),4 (9%),10 (22%),26 (51%),8 (16%),17 (33%),0/1,0/0,5/8,0/1,0/0,0/0,0/0,0/0,0/5,0/0,0/0,0/0,FILIPPO FALCO,10,DOMENICO BERARDI,25,2.6,3.4,2.6
2019-2020,11,FIORENTINA,PARMA,03/11/2019,STADIUM ARTEMIO FRANCHI,18:00:00,LUCA  PAIRETTO,MAURO  VIVENZI,VALERIO  VECCHI,ALESSANDRO  PRONTERA,MICHAEL  FABBRI,FILIPPO VALERIANI,1,1,D,VINCENZO MONTELLA,ROBERTO D'AVERSA,4-3-3,4-3-3,94'55,59'47,0.63,33'17 (56%),19'11 (58%),14'06 (42%),26'30 (44%),22'50 (86%),3'40 (14%),4'32,6'53,3'32,4'59,6'27,6'54,5'03,4'08,4'20,4'12,3'44,5'03,15,7,4(1),3(1),1,0,2,3,11,4,2,3,4,5,1,1,2,5,4,2,15,20,470,270,0.87,0.78,18,26,174,80,278,164,3,3,79,103,24,25,0 (0),0 (0),106.381,27.451,70.112,8.818,109.897,27.218,74.924,7.755,6.6,6.8,21 (36%),10 (17%),28 (47%),13 (36%),5 (14%),18 (50%),2/2,0/0,3/4,3/6,1/1,0/0,0/1,0/0,0/0,0/3,0/0,0/0,GAETANO CASTROVILLI,8,GERVINHO,27,1.5,4.33,6.5
2019-2020,11,MILAN,LAZIO,03/11/2019,STADIUM GIUSEPPE MEAZZA,20:45:00,GIANPAOLO  CALVARESE,ALESSANDRO  COSTANZO,STEFANO  ALASSIO,JUAN LUCA  SACCHI,GIANLUCA  MANGANIELLO,GIACOMO PAGANESSI,1,2,A,STEFANO PIOLI,SIMONE INZAGHI,4-3-3,3-5-2,96'04,48'24,0.5,23'10 (48%),9'29 (41%),13'41 (59%),25'14 (52%),13'58 (55%),11'16 (45%),3'23,3'34,3'56,4'46,3'29,4'02,3'20,4'30,5'45,3'22,3'41,4'36,9,8,4(0),7(2),1,0,1,7,5,1,3,4,5,7,0,2,2,2,8,4,12,13,353,415,0.81,0.82,21,26,117,116,215,273,4,4,95,90,24,23,0 (0),0 (0),106.1,27.645,69.93,8.525,106.254,29.181,68.029,9.044,6.4,6.4,27 (50%),10 (19%),17 (31%),24 (47%),12 (24%),15 (29%),1/1,1/1,1/3,4/5,0/0,3/3,0/0,1/1,3/3,2/2,0/0,0/0,HAKAN CALHANOGLU,10,JOAQUIN CORREA,11,3.1,3.2,2.37
2019-2020,11,SPAL,SAMPDORIA,04/11/2019,STADIUM PAOLO MAZZA,20:45:00,DANIELE  CHIFFI,STEFANO  LIBERTI,PASQUALE  CAPALDO,DANIELE  MINELLI,MARCO  PICCININI,FABIANO PRETI,0,1,A,LEONARDO SEMPLICI,CLAUDIO RANIERI,3-5-2,4-3-1-2,95'13,41'28,0.44,24'02 (58%),10'58 (46%),13'04 (54%),17'26 (42%),7'43 (44%),9'43 (56%),4'10,4'12,2'51,3'53,4'59,3'57,3'54,3'17,2'25,2'53,1'40,3'17,8,9,3(0),4(1),0,1,3,3,5,5,3,3,4,5,0,1,3,2,8,5,12,16,338,220,0.76,0.7,30,19,111,68,196,133,2,2,36,68,23,26,0 (0),0 (0),106.375,26.974,71.057,8.344,110.934,26.147,74.641,10.146,6.7,6.9,32 (58%),4 (7%),19 (35%),21 (46%),9 (19%),16 (35%),1/1,0/0,3/11,4/7,0/0,0/0,0/0,0/0,8/11,1/3,0/0,0/0,ANDREA PETAGNA,37,GIANLUCA CAPRARI,17,2.62,3.3,2.7
2019-2020,12,SASSUOLO,BOLOGNA,08/11/2019,STADIUM MAPEI STADIUM,20:45:00,MARCO  PICCININI,MAURO  GALETTO,ENRICO  CALIARI,FRANCESCO  FOURNEAU,GIANLUCA  ROCCHI,DARIO CECCONI,3,1,H,ROBERTO DE ZERBI,SINISA MIHAJLOVIC,4-3-3,4-2-3-1,99'07,48'10,0.49,23'25 (49%),13'08 (56%),10'17 (44%),24'45 (51%),12'13 (49%),12'32 (51%),5'16,4'45,4'13,3'21,1'43,4'05,5'00,5'04,3'22,2'09,4'21,4'49,13,9,8(3),7(1),0,0,7,4,5,2,5,5,8,5,2,0,2,2,4,5,16,17,428,424,0.83,0.81,32,36,128,151,268,237,5,3,94,61,25,21,0 (0),0 (0),114.082,29.055,74.814,10.213,115.312,29.438,75.216,10.658,6.7,6.7,24 (49%),5 (10%),20 (41%),26 (44%),14 (24%),19 (32%),0/0,0/0,0/0,0/2,0/0,0/0,0/1,0/0,2/8,1/2,0/0,0/0,FRANCESCO CAPUTO,9,RICCARDO ORSOLINI,7,2.7,3.5,2.55
2019-2020,12,BRESCIA,TORINO,09/11/2019,STADIUM MARIO RIGAMONTI,15:00:00,MARCO  GUIDA,STEFANO  LIBERTI,FILIPPO  VALERIANI,VALERIO  MARINI,LUIGI  NASCA,GIORGIO SCHENONE,0,4,A,FABIO GROSSO,WALTER MAZZARRI,4-3-1-2,3-5-2,91'40,40'04,0.44,16'24 (41%),10'35 (65%),5'49 (35%),23'40 (59%),13'39 (58%),10'01 (42%),3'29,2'42,3'34,2'18,1'39,2'42,4'45,2'09,5'27,5'01,3'15,3'02,5,12,3(0),7(4),0,3,3,5,2,5,3,3,4,8,0,2,0,3,4,4,18,17,255,384,0.75,0.85,15,35,87,138,153,211,3,4,82,76,11,11,0 (0),2 (2),93.471,22.477,63.057,7.937,95.604,23.956,63.974,7.674,6.8,6.6,13 (35%),7 (19%),17 (46%),15 (34%),9 (21%),20 (45%),1/1,1/2,2/2,2/3,0/0,0/0,0/0,1/2,0/2,0/0,0/0,0/1,DIMITRI BISOLI,25,ANDREA BELOTTI,9,2.8,3.3,2.55
2019-2020,12,INTER,HELLAS VERONA,09/11/2019,STADIUM GIUSEPPE MEAZZA,18:00:00,PAOLO  VALERI,MATTEO  BOTTEGONI,DOMENICO  ROCCA,ANTONIO  DI MARTINO,PIERO  GIACOMELLI,MAURO VIVENZI,2,1,H,ANTONIO CONTE,IVAN JURIC,3-5-2,3-4-2-1,96'02,52'49,0.55,33'52 (64%),12'13 (36%),21'39 (64%),18'57 (36%),10'17 (54%),8'40 (46%),5'00,6'15,5'56,5'14,6'18,5'09,3'01,1'59,4'12,3'32,2'25,3'47,19,5,13(2),2(1),2,1,7,2,6,3,1,10,11,2,1,0,3,0,8,3,14,11,457,268,0.84,0.76,32,13,174,82,251,173,6,1,69,117,20,12,0 (0),1 (1),116.167,26.403,80.227,9.537,113.004,28.095,76.778,8.131,7.0,6.8,27 (39%),22 (32%),20 (29%),19 (59%),3 (10%),10 (31%),2/3,1/1,5/7,6/6,1/1,0/0,0/1,1/1,0/2,2/3,0/0,0/0,NICOLO' BARELLA,23,SOFYAN AMRABAT,34,1.33,5.25,9.5
2019-2020,12,NAPOLI,GENOA,09/11/2019,STADIUM SAN PAOLO,20:45:00,GIANPAOLO  CALVARESE,STEFANO  DEL GIOVANE,TARCISIO  VILLA,EUGENIO  ABBATTISTA,DANIELE  CHIFFI,LUCA MONDIN,0,0,D,CARLO ANCELOTTI,THIAGO  MOTTA,4-4-2,4-3-3,97'10,52'31,0.54,23'44 (45%),9'20 (39%),14'24 (61%),28'47 (55%),20'12 (70%),8'35 (30%),2'36,4'34,2'42,3'03,4'57,5'52,6'37,1'54,5'55,5'05,5'53,3'23,13,8,8(0),3(0),0,0,4,2,5,5,1,7,7,5,0,0,3,1,5,2,15,19,339,475,0.83,0.87,21,20,114,156,204,299,6,4,41,85,24,7,0 (0),0 (0),109.103,28.711,69.724,10.668,107.635,27.809,70.644,9.182,6.5,6.5,33 (49%),11 (16%),24 (35%),12 (39%),4 (13%),15 (48%),0/1,0/0,2/6,4/9,0/0,0/0,0/0,0/0,0/2,4/6,0/0,0/0,HIRVING LOZANO,11,KEVIN AGUDELO,28,1.4,5.0,7.0
2019-2020,12,CAGLIARI,FIORENTINA,10/11/2019,STADIUM SARDEGNA ARENA,12:30:00,FEDERICO  LA PENNA,MARCO  BRESMES,FRANCESCO  FIORE,ANTONIO  GIUA,DANIELE  DOVERI,ALESSANDRO GIALLATINI,5,2,H,ROLANDO MARAN,VINCENZO MONTELLA,4-3-1-2,3-5-2,94'56,51'15,0.54,23'07 (45%),14'56 (65%),8'11 (35%),28'08 (55%),15'46 (56%),12'22 (44%),6'25,2'40,3'01,3'52,3'05,4'04,2'11,3'57,5'07,5'43,4'13,6'57,12,10,8(5),7(2),0,0,7,7,4,3,5,3,10,7,5,1,3,3,5,6,12,15,404,423,0.85,0.85,27,33,117,137,260,253,4,3,123,111,22,16,0 (0),0 (0),104.317,26.999,68.905,8.413,98.064,24.634,66.108,7.322,6.8,6.5,12 (29%),8 (19%),22 (52%),24 (42%),9 (16%),24 (42%),0/1,1/1,1/2,2/5,0/0,0/0,0/0,1/1,3/5,0/2,0/0,0/0,RADJA NAINGGOLAN,4,DUSAN VLAHOVIC,28,2.9,3.4,2.37
2019-2020,12,LAZIO,LECCE,10/11/2019,STADIUM OLIMPICO,15:00:00,GIANLUCA  MANGANIELLO,SALVATORE  LONGO,LORENZO  MANGANELLI,LUCA  MASSIMI,LUCA  PAIRETTO,DAMIANO DI IORIO,4,2,H,SIMONE INZAGHI,FABIO LIVERANI,3-5-2,4-3-1-2,96'22,49'30,0.51,27'31 (56%),11'17 (41%),16'14 (59%),21'59 (44%),12'50 (58%),9'09 (42%),5'53,5'07,5'50,4'47,2'27,3'27,3'59,2'40,3'48,3'27,2'36,5'29,17,18,7(4),10(2),1,1,6,7,10,8,8,3,15,11,3,2,1,1,9,3,8,10,423,341,0.84,0.82,25,40,135,126,263,175,7,6,87,51,22,17,1 (1),1 (0),111.722,26.822,74.813,10.087,105.894,26.189,70.776,8.929,6.9,6.7,21 (39%),11 (20%),22 (41%),21 (45%),6 (12%),20 (43%),0/1,2/2,8/9,6/7,0/0,0/0,0/0,2/2,7/7,4/5,0/0,0/0,JOAQUIN CORREA,11,GIANLUCA LAPADULA,9,1.25,6.5,11.0
2019-2020,12,SAMPDORIA,ATALANTA,10/11/2019,STADIUM LUIGI FERRARIS,15:00:00,MASSIMILIANO  IRRATI,PASQUALE  DE MEO,EMANUELE  PRENNA,IVANO  PEZZUTO,ALEANDRO  DI PAOLO,ALBERTO TEGONI,0,0,D,CLAUDIO RANIERI,GIAN PIERO GASPERINI,4-4-2,3-4-1-2,97'12,56'21,0.58,23'04 (41%),13'59 (61%),9'05 (39%),33'17 (59%),19'04 (57%),14'13 (43%),3'19,3'48,3'38,3'23,2'40,6'16,7'29,4'57,6'31,4'13,4'48,5'18,5,7,2(0),3(0),0,2,2,0,3,4,3,2,2,2,0,0,3,1,1,7,19,13,231,512,0.63,0.82,13,28,89,152,129,332,2,1,84,65,19,23,0 (0),0 (0),116.012,27.592,78.616,9.804,111.036,27.961,74.633,8.442,7.0,6.7,17 (39%),8 (18%),19 (43%),27 (50%),11 (20%),16 (30%),1/1,1/2,3/4,3/5,0/0,0/0,0/1,1/2,2/6,1/1,0/0,0/0,JAKUB JANKTO,14,LUIS MURIEL,9,4.0,3.6,1.9
2019-2020,12,UDINESE,SPAL,10/11/2019,STADIUM DACIA ARENA - STADIO FRIULI,15:00:00,DAVIDE  MASSA,VALERIO  COLAROSSI,ANTONIO  SANTORO,GIOVANNI  AYROLDI,ROSARIO  ABISSO,MATTEO PASSERI,0,0,D,LUCA GOTTI,LEONARDO SEMPLICI,3-5-2,3-5-2,97'50,44'16,0.45,26'41 (60%),15'19 (57%),11'22 (43%),17'35 (40%),11'04 (63%),6'31 (37%),6'45,3'35,3'56,3'55,3'26,5'04,3'08,4'15,2'41,1'53,1'05,4'33,11,10,4(0),4(0),0,1,4,3,7,6,4,2,8,4,0,0,4,1,3,7,14,14,374,280,0.84,0.78,23,24,154,85,197,171,7,2,114,96,19,16,0 (0),1 (0),104.763,26.479,70.362,7.922,109.114,27.599,73.635,7.88,6.5,6.7,27 (54%),6 (12%),17 (34%),15 (42%),9 (25%),12 (33%),3/4,0/0,9/9,3/4,0/0,2/3,1/1,0/0,3/3,3/3,0/0,1/2,JUAN MUSSO,1,GABRIEL STREFEZZA,21,2.1,3.2,3.8
2019-2020,12,PARMA,ROMA,10/11/2019,STADIUM ENNIO TARDINI,18:00:00,MICHAEL  FABBRI,ALESSIO  TOLFO,RODOLFO  DI VUOLO,DAVIDE  GHERSINI,LUCA  BANTI,STEFANO ALASSIO,2,0,H,ROBERTO D'AVERSA,PAULO FONSECA,4-3-3,4-2-3-1,97'43,48'26,0.5,18'42 (39%),11'17 (60%),7'25 (40%),29'44 (61%),12'01 (40%),17'43 (60%),2'25,2'55,4'42,2'47,4'04,1'49,4'54,3'22,6'55,5'06,2'36,6'50,13,10,8(2),7(0),0,1,5,2,5,3,5,6,12,5,2,0,1,1,5,10,16,9,244,438,0.78,0.84,28,24,83,175,133,239,9,3,121,82,24,14,0 (0),0 (0),114.64,26.553,78.09,9.997,109.612,27.229,72.122,10.261,6.9,6.6,21 (49%),8 (18%),14 (33%),18 (33%),10 (19%),26 (48%),2/2,1/2,2/3,2/2,0/1,0/0,0/1,1/2,0/2,1/3,0/0,0/0,DEJAN KULUSEVSKI,44,JUSTIN KLUIVERT,99,4.0,3.6,1.9
2019-2020,12,JUVENTUS,MILAN,10/11/2019,STADIUM ALLIANZ STADIUM,20:45:00,FABIO  MARESCA,FABIANO  PRETI,CIRO  CARBONE,MAURIZIO  MARIANI,PAOLO SILVIO  MAZZOLENI,SERGIO RANGHETTI,1,0,H,MAURIZIO SARRI,STEFANO PIOLI,4-3-1-2,4-3-3,95'08,51'09,0.54,27'19 (53%),12'47 (47%),14'32 (53%),23'50 (47%),13'57 (59%),9'53 (41%),5'36,4'55,4'16,4'12,3'28,4'52,3'34,5'52,3'02,3'01,3'22,4'58,11,10,5(1),7(0),0,1,3,3,6,3,7,4,7,6,1,0,4,0,5,5,13,10,403,331,0.83,0.81,39,34,129,106,235,191,4,5,99,85,18,15,0 (0),0 (0),114.003,27.98,75.133,10.89,112.357,28.159,74.84,9.358,6.9,6.8,29 (50%),4 (7%),25 (43%),25 (54%),4 (9%),17 (37%),0/0,1/2,0/2,3/4,0/0,0/0,0/0,1/2,2/3,2/7,0/0,0/0,PAULO DYBALA,10,KRZYSZTOF PIATEK,9,1.4,4.75,8.0
2019-2020,13,ATALANTA,JUVENTUS,23/11/2019,STADIUM GEWISS STADIUM,15:00:00,GIANLUCA  ROCCHI,GIORGIO  PERETTI,DARIO  CECCONI,DANIELE  DOVERI,GIANLUCA  AURELIANO,CIRO CARBONE,1,3,A,GIAN PIERO GASPERINI,MAURIZIO SARRI,3-4-2-1,4-3-1-2,98'57,47'33,0.48,24'16 (51%),10'37 (44%),13'39 (56%),23'17 (49%),13'57 (60%),9'20 (40%),3'10,3'53,4'14,3'46,2'49,6'24,4'33,2'25,4'06,3'46,5'13,3'14,14,11,9(1),5(3),1,0,6,4,5,6,2,6,6,4,1,2,0,0,8,3,17,13,357,435,0.8,0.81,31,33,103,148,223,254,2,1,51,98,20,15,1 (0),0 (0),115.137,26.356,77.943,10.838,115.896,27.598,78.593,9.705,6.9,6.9,33 (56%),9 (15%),17 (29%),15 (38%),13 (32%),12 (30%),1/2,1/1,3/7,3/4,0/0,0/0,0/0,1/1,0/0,2/2,0/0,0/0,ROBIN GOSENS,8,GONZALO HIGUAIN,21,2.6,3.5,2.6
